# Sonora Bobcat evolution: the first 16 mass blocks, 0.0005 to 0.011 Msun, of
# evolution_tables/evo_tables+0.0/nc+0.0_co1.0_mass (cloudless, [M/H] = 0.0, solar C/O).
#
# Source: Marley, M. S., Saumon, D., Visscher, C. et al. (2021), "The Sonora Brown Dwarf
# Atmosphere and Evolution Models. I. Model Description and Application to Cloudless Atmospheres
# in Rainout Chemical Equilibrium", ApJ 920, 85.
# Data: "Sonora Bobcat: cloud-free, substellar atmosphere models, spectra, photometry, evolution,
# and chemistry", Zenodo record 5063476, doi:10.5281/zenodo.5063476, file
# evolution_and_photometery.tar.gz (sha256
# 2198426d1ca0e410fda7b63c3b7f45f3890a8d9f2fcf0a3a1e36e14185283ca5), retrieved 2026-09-23.
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0),
# https://creativecommons.org/licenses/by/4.0/.
#
# Changes: only what hyperion-fit's `giant_cooling` task reads is kept, lines 1-472 of the
# 1,490-line original (sha256 b9dcb99b4f21e9407e713a7a5eff1aac445859ad4e7a1094e31de0a07cc1c891):
# the column header and the blocks from 0.0005 to 0.011 Msun. Trailing whitespace is removed and
# these comment lines are added. No value is altered. The heavier blocks are left out because
# they burn deuterium, which neither this fit nor plan 06's cooling fit models.
#
# Columns, from the tables' README: mass in Msun (1.989e33 g), age in Gyr, log L/Lsun
# (log Lsun = 33.5827 in erg/s), Teff in K, log g in cm/s2, R/Rsun (6.9599e10 cm), log I in
# g cm2. Each block of rows is preceded by its number of rows.
 0.0020   15.0000     -8.974      103.   3.712  0.1031  49.7421
  29
 0.0025    0.0010     -3.926     1452.   3.365  0.1719  50.2120
 0.0025    0.0020     -4.294     1230.   3.444  0.1569  50.1467
 0.0025    0.0030     -4.505     1113.   3.481  0.1505  50.1160
 0.0025    0.0040     -4.663     1030.   3.504  0.1464  50.0962
 0.0025    0.0060     -4.887      920.   3.532  0.1418  50.0730
 0.0025    0.0080     -5.039      851.   3.549  0.1390  50.0585
 0.0025    0.0100     -5.154      802.   3.562  0.1370  50.0480
 0.0025    0.0150     -5.364      719.   3.582  0.1339  50.0310
 0.0025    0.0200     -5.524      661.   3.596  0.1318  50.0195
 0.0025    0.0300     -5.742      588.   3.612  0.1293  50.0056
 0.0025    0.0400     -5.902      540.   3.623  0.1277  49.9964
 0.0025    0.0600     -6.121      480.   3.637  0.1257  49.9847
 0.0025    0.0800     -6.259      446.   3.646  0.1244  49.9770
 0.0025    0.1000     -6.362      422.   3.653  0.1234  49.9712
 0.0025    0.1500     -6.506      391.   3.665  0.1217  49.9604
 0.0025    0.2000     -6.625      367.   3.675  0.1203  49.9519
 0.0025    0.3000     -6.778      339.   3.689  0.1184  49.9400
 0.0025    0.4000     -6.902      317.   3.699  0.1170  49.9310
 0.0025    0.6000     -7.088      287.   3.713  0.1151  49.9185
 0.0025    0.8000     -7.228      267.   3.723  0.1138  49.9099
 0.0025    1.0000     -7.340      251.   3.731  0.1128  49.9034
 0.0025    1.5000     -7.538      226.   3.744  0.1112  49.8922
 0.0025    2.0000     -7.690      208.   3.753  0.1100  49.8841
 0.0025    3.0000     -7.897      186.   3.765  0.1085  49.8740
 0.0025    4.0000     -8.052      171.   3.773  0.1075  49.8672
 0.0025    6.0000     -8.270      152.   3.783  0.1063  49.8584
 0.0025    8.0000     -8.428      139.   3.789  0.1054  49.8528
 0.0025   10.0000     -8.552      130.   3.794  0.1049  49.8487
 0.0025   15.0000     -8.777      114.   3.803  0.1039  49.8417
  29
 0.0030    0.0010     -3.748     1580.   3.413  0.1781  50.3253
 0.0030    0.0020     -4.113     1349.   3.503  0.1606  50.2500
 0.0030    0.0030     -4.330     1219.   3.544  0.1532  50.2151
 0.0030    0.0040     -4.487     1131.   3.570  0.1487  50.1924
 0.0030    0.0060     -4.707     1014.   3.601  0.1434  50.1654
 0.0030    0.0080     -4.867      935.   3.621  0.1403  50.1487
 0.0030    0.0100     -4.987      880.   3.634  0.1381  50.1369
 0.0030    0.0150     -5.198      789.   3.656  0.1347  50.1180
 0.0030    0.0200     -5.358      725.   3.670  0.1325  50.1051
 0.0030    0.0300     -5.576      647.   3.688  0.1298  50.0897
 0.0030    0.0400     -5.739      593.   3.700  0.1281  50.0794
 0.0030    0.0600     -5.958      527.   3.714  0.1260  50.0667
 0.0030    0.0800     -6.117      483.   3.724  0.1246  50.0582
 0.0030    0.1000     -6.226      456.   3.730  0.1236  50.0522
 0.0030    0.1500     -6.396      416.   3.742  0.1220  50.0415
 0.0030    0.2000     -6.501      394.   3.752  0.1207  50.0332
 0.0030    0.3000     -6.664      361.   3.765  0.1189  50.0215
 0.0030    0.4000     -6.778      340.   3.774  0.1175  50.0127
 0.0030    0.6000     -6.956      309.   3.788  0.1157  50.0002
 0.0030    0.8000     -7.090      288.   3.798  0.1144  49.9913
 0.0030    1.0000     -7.198      272.   3.805  0.1134  49.9847
 0.0030    1.5000     -7.395      245.   3.818  0.1117  49.9733
 0.0030    2.0000     -7.543      226.   3.827  0.1106  49.9650
 0.0030    3.0000     -7.747      202.   3.839  0.1091  49.9545
 0.0030    4.0000     -7.900      186.   3.847  0.1080  49.9473
 0.0030    6.0000     -8.115      165.   3.858  0.1068  49.9383
 0.0030    8.0000     -8.271      152.   3.865  0.1059  49.9324
 0.0030   10.0000     -8.394      142.   3.870  0.1053  49.9281
 0.0030   15.0000     -8.619      125.   3.878  0.1043  49.9210
  29
 0.0035    0.0010     -3.604     1688.   3.450  0.1843  50.4234
 0.0035    0.0020     -3.960     1456.   3.550  0.1643  50.3395
 0.0035    0.0030     -4.177     1319.   3.595  0.1560  50.3004
 0.0035    0.0040     -4.338     1223.   3.624  0.1510  50.2752
 0.0035    0.0060     -4.556     1100.   3.658  0.1451  50.2449
 0.0035    0.0080     -4.713     1017.   3.679  0.1416  50.2261
 0.0035    0.0100     -4.836      956.   3.694  0.1392  50.2128
 0.0035    0.0150     -5.052      855.   3.718  0.1355  50.1917
 0.0035    0.0200     -5.215      786.   3.733  0.1331  50.1774
 0.0035    0.0300     -5.432      701.   3.752  0.1302  50.1603
 0.0035    0.0400     -5.594      643.   3.765  0.1284  50.1490
 0.0035    0.0600     -5.823      569.   3.780  0.1261  50.1349
 0.0035    0.0800     -5.971      525.   3.790  0.1247  50.1258
 0.0035    0.1000     -6.084      494.   3.797  0.1237  50.1191
 0.0035    0.1500     -6.281      445.   3.809  0.1220  50.1080
 0.0035    0.2000     -6.406      416.   3.818  0.1207  50.0998
 0.0035    0.3000     -6.563      383.   3.831  0.1190  50.0882
 0.0035    0.4000     -6.683      359.   3.840  0.1177  50.0796
 0.0035    0.6000     -6.849      329.   3.853  0.1159  50.0673
 0.0035    0.8000     -6.978      307.   3.863  0.1147  50.0585
 0.0035    1.0000     -7.081      290.   3.870  0.1137  50.0517
 0.0035    1.5000     -7.271      262.   3.883  0.1120  50.0401
 0.0035    2.0000     -7.418      242.   3.892  0.1108  50.0317
 0.0035    3.0000     -7.619      217.   3.904  0.1093  50.0209
 0.0035    4.0000     -7.771      200.   3.912  0.1083  50.0136
 0.0035    6.0000     -7.984      178.   3.923  0.1070  50.0042
 0.0035    8.0000     -8.140      163.   3.930  0.1062  49.9981
 0.0035   10.0000     -8.261      153.   3.935  0.1055  49.9937
 0.0035   15.0000     -8.486      135.   3.943  0.1045  49.9864
  29
 0.0040    0.0010     -3.480     1785.   3.481  0.1903  50.5094
 0.0040    0.0020     -3.829     1553.   3.589  0.1681  50.4180
 0.0040    0.0030     -4.044     1412.   3.638  0.1588  50.3750
 0.0040    0.0040     -4.205     1310.   3.669  0.1532  50.3473
 0.0040    0.0060     -4.427     1177.   3.706  0.1468  50.3140
 0.0040    0.0080     -4.583     1091.   3.729  0.1430  50.2933
 0.0040    0.0100     -4.704     1027.   3.745  0.1404  50.2787
 0.0040    0.0150     -4.920      920.   3.770  0.1363  50.2554
 0.0040    0.0200     -5.085      845.   3.787  0.1337  50.2395
 0.0040    0.0300     -5.305      753.   3.808  0.1306  50.2206
 0.0040    0.0400     -5.467      692.   3.821  0.1286  50.2082
 0.0040    0.0600     -5.692      613.   3.837  0.1262  50.1928
 0.0040    0.0800     -5.853      562.   3.848  0.1247  50.1830
 0.0040    0.1000     -5.968      529.   3.855  0.1236  50.1759
 0.0040    0.1500     -6.173      473.   3.868  0.1218  50.1639
 0.0040    0.2000     -6.307      440.   3.877  0.1206  50.1554
 0.0040    0.3000     -6.470      404.   3.889  0.1189  50.1439
 0.0040    0.4000     -6.595      378.   3.898  0.1176  50.1353
 0.0040    0.6000     -6.764      345.   3.911  0.1159  50.1234
 0.0040    0.8000     -6.885      324.   3.920  0.1147  50.1148
 0.0040    1.0000     -6.984      307.   3.928  0.1138  50.1081
 0.0040    1.5000     -7.166      279.   3.940  0.1121  50.0964
 0.0040    2.0000     -7.309      258.   3.949  0.1110  50.0879
 0.0040    3.0000     -7.507      232.   3.961  0.1094  50.0769
 0.0040    4.0000     -7.657      214.   3.970  0.1084  50.0693
 0.0040    6.0000     -7.870      190.   3.980  0.1071  50.0597
 0.0040    8.0000     -8.025      174.   3.987  0.1062  50.0534
 0.0040   10.0000     -8.147      163.   3.992  0.1056  50.0489
 0.0040   15.0000     -8.370      144.   4.001  0.1046  50.0415
  29
 0.0045    0.0010     -3.372     1869.   3.505  0.1963  50.5870
 0.0045    0.0020     -3.713     1642.   3.621  0.1718  50.4885
 0.0045    0.0030     -3.925     1499.   3.674  0.1615  50.4416
 0.0045    0.0040     -4.087     1392.   3.708  0.1554  50.4114
 0.0045    0.0060     -4.311     1252.   3.748  0.1484  50.3753
 0.0045    0.0080     -4.468     1160.   3.772  0.1443  50.3528
 0.0045    0.0100     -4.589     1093.   3.789  0.1415  50.3368
 0.0045    0.0150     -4.804      981.   3.817  0.1371  50.3115
 0.0045    0.0200     -4.968      902.   3.835  0.1342  50.2941
 0.0045    0.0300     -5.189      804.   3.857  0.1309  50.2734
 0.0045    0.0400     -5.352      739.   3.871  0.1288  50.2599
 0.0045    0.0600     -5.579      654.   3.888  0.1262  50.2432
 0.0045    0.0800     -5.740      600.   3.899  0.1246  50.2325
 0.0045    0.1000     -5.861      562.   3.907  0.1235  50.2249
 0.0045    0.1500     -6.060      506.   3.921  0.1216  50.2123
 0.0045    0.2000     -6.211      466.   3.930  0.1203  50.2033
 0.0045    0.3000     -6.385      424.   3.942  0.1186  50.1916
 0.0045    0.4000     -6.509      397.   3.951  0.1174  50.1831
 0.0045    0.6000     -6.687      361.   3.964  0.1158  50.1713
 0.0045    0.8000     -6.807      339.   3.972  0.1146  50.1629
 0.0045    1.0000     -6.901      322.   3.979  0.1137  50.1564
 0.0045    1.5000     -7.076      293.   3.992  0.1121  50.1448
 0.0045    2.0000     -7.214      272.   4.001  0.1109  50.1362
 0.0045    3.0000     -7.409      245.   4.013  0.1094  50.1251
 0.0045    4.0000     -7.558      226.   4.021  0.1083  50.1174
 0.0045    6.0000     -7.770      201.   4.032  0.1070  50.1076
 0.0045    8.0000     -7.924      185.   4.039  0.1061  50.1012
 0.0045   10.0000     -8.045      173.   4.044  0.1055  50.0965
 0.0045   15.0000     -8.267      153.   4.053  0.1045  50.0889
  29
 0.0050    0.0010     -3.279     1943.   3.525  0.2022  50.6578
 0.0050    0.0020     -3.610     1724.   3.648  0.1755  50.5528
 0.0050    0.0030     -3.819     1580.   3.705  0.1643  50.5023
 0.0050    0.0040     -3.979     1471.   3.742  0.1576  50.4695
 0.0050    0.0060     -4.205     1324.   3.784  0.1500  50.4304
 0.0050    0.0080     -4.363     1227.   3.811  0.1455  50.4060
 0.0050    0.0100     -4.485     1156.   3.829  0.1425  50.3888
 0.0050    0.0150     -4.700     1039.   3.858  0.1378  50.3614
 0.0050    0.0200     -4.863      957.   3.877  0.1347  50.3426
 0.0050    0.0300     -5.084      854.   3.901  0.1312  50.3203
 0.0050    0.0400     -5.246      785.   3.916  0.1289  50.3056
 0.0050    0.0600     -5.475      695.   3.934  0.1262  50.2875
 0.0050    0.0800     -5.637      637.   3.946  0.1245  50.2761
 0.0050    0.1000     -5.761      596.   3.955  0.1233  50.2679
 0.0050    0.1500     -5.966      534.   3.968  0.1214  50.2547
 0.0050    0.2000     -6.115      493.   3.978  0.1200  50.2453
 0.0050    0.3000     -6.300      446.   3.990  0.1183  50.2333
 0.0050    0.4000     -6.432      416.   3.999  0.1171  50.2247
 0.0050    0.6000     -6.613      377.   4.012  0.1155  50.2130
 0.0050    0.8000     -6.735      353.   4.020  0.1143  50.2048
 0.0050    1.0000     -6.828      336.   4.027  0.1135  50.1984
 0.0050    1.5000     -6.996      307.   4.039  0.1119  50.1870
 0.0050    2.0000     -7.130      286.   4.048  0.1107  50.1784
 0.0050    3.0000     -7.321      258.   4.060  0.1092  50.1672
 0.0050    4.0000     -7.468      238.   4.068  0.1082  50.1594
 0.0050    6.0000     -7.680      212.   4.079  0.1068  50.1494
 0.0050    8.0000     -7.832      195.   4.086  0.1059  50.1429
 0.0050   10.0000     -7.953      183.   4.092  0.1053  50.1382
 0.0050   15.0000     -8.174      162.   4.100  0.1043  50.1303
  29
 0.0060    0.0010     -3.122     2068.   3.555  0.2139  50.7836
 0.0060    0.0020     -3.435     1866.   3.689  0.1833  50.6674
 0.0060    0.0030     -3.636     1725.   3.754  0.1701  50.6099
 0.0060    0.0040     -3.791     1617.   3.796  0.1621  50.5722
 0.0060    0.0060     -4.016     1461.   3.845  0.1532  50.5268
 0.0060    0.0080     -4.176     1355.   3.875  0.1480  50.4987
 0.0060    0.0100     -4.298     1278.   3.896  0.1445  50.4788
 0.0060    0.0150     -4.515     1150.   3.929  0.1392  50.4474
 0.0060    0.0200     -4.679     1060.   3.951  0.1357  50.4260
 0.0060    0.0300     -4.899      947.   3.977  0.1317  50.4004
 0.0060    0.0400     -5.061      872.   3.994  0.1291  50.3836
 0.0060    0.0600     -5.287      775.   4.014  0.1261  50.3630
 0.0060    0.0800     -5.452      710.   4.028  0.1242  50.3500
 0.0060    0.1000     -5.579      663.   4.037  0.1229  50.3408
 0.0060    0.1500     -5.796      590.   4.052  0.1208  50.3262
 0.0060    0.2000     -5.951      543.   4.062  0.1194  50.3160
 0.0060    0.3000     -6.147      489.   4.075  0.1176  50.3034
 0.0060    0.4000     -6.282      455.   4.084  0.1164  50.2946
 0.0060    0.6000     -6.476      410.   4.096  0.1148  50.2828
 0.0060    0.8000     -6.608      381.   4.104  0.1137  50.2748
 0.0060    1.0000     -6.701      363.   4.111  0.1128  50.2686
 0.0060    1.5000     -6.861      333.   4.123  0.1113  50.2575
 0.0060    2.0000     -6.987      312.   4.131  0.1102  50.2491
 0.0060    3.0000     -7.169      282.   4.143  0.1087  50.2379
 0.0060    4.0000     -7.312      261.   4.152  0.1076  50.2299
 0.0060    6.0000     -7.524      233.   4.163  0.1063  50.2196
 0.0060    8.0000     -7.677      214.   4.170  0.1054  50.2129
 0.0060   10.0000     -7.793      201.   4.175  0.1048  50.2080
 0.0060   15.0000     -8.011      178.   4.184  0.1037  50.1999
  29
 0.0070    0.0010     -2.997     2166.   3.578  0.2252  50.8931
 0.0070    0.0020     -3.293     1983.   3.720  0.1911  50.7678
 0.0070    0.0030     -3.485     1850.   3.791  0.1761  50.7044
 0.0070    0.0040     -3.633     1745.   3.838  0.1669  50.6620
 0.0070    0.0060     -3.853     1587.   3.893  0.1566  50.6104
 0.0070    0.0080     -4.014     1475.   3.927  0.1506  50.5785
 0.0070    0.0100     -4.136     1393.   3.950  0.1466  50.5560
 0.0070    0.0150     -4.353     1256.   3.987  0.1405  50.5204
 0.0070    0.0200     -4.518     1159.   4.012  0.1366  50.4962
 0.0070    0.0300     -4.739     1037.   4.041  0.1321  50.4677
 0.0070    0.0400     -4.901      955.   4.059  0.1293  50.4490
 0.0070    0.0600     -5.127      850.   4.082  0.1259  50.4260
 0.0070    0.0800     -5.290      780.   4.097  0.1238  50.4115
 0.0070    0.1000     -5.418      729.   4.107  0.1224  50.4013
 0.0070    0.1500     -5.642      647.   4.123  0.1201  50.3852
 0.0070    0.2000     -5.804      593.   4.134  0.1186  50.3743
 0.0070    0.3000     -6.010      531.   4.148  0.1168  50.3609
 0.0070    0.4000     -6.153      492.   4.157  0.1156  50.3518
 0.0070    0.6000     -6.343      444.   4.169  0.1139  50.3397
 0.0070    0.8000     -6.488      410.   4.178  0.1128  50.3316
 0.0070    1.0000     -6.593      388.   4.184  0.1120  50.3255
 0.0070    1.5000     -6.752      356.   4.195  0.1106  50.3149
 0.0070    2.0000     -6.871      334.   4.204  0.1095  50.3067
 0.0070    3.0000     -7.041      305.   4.215  0.1081  50.2956
 0.0070    4.0000     -7.179      283.   4.224  0.1070  50.2876
 0.0070    6.0000     -7.383      253.   4.235  0.1056  50.2770
 0.0070    8.0000     -7.540      232.   4.242  0.1047  50.2701
 0.0070   10.0000     -7.659      218.   4.248  0.1041  50.2651
 0.0070   15.0000     -7.871      194.   4.257  0.1030  50.2567
  29
 0.0080    0.0010     -2.894     2245.   3.595  0.2360  50.9899
 0.0080    0.0020     -3.175     2081.   3.744  0.1988  50.8576
 0.0080    0.0030     -3.359     1956.   3.820  0.1821  50.7891
 0.0080    0.0040     -3.500     1856.   3.870  0.1718  50.7427
 0.0080    0.0060     -3.710     1705.   3.932  0.1600  50.6852
 0.0080    0.0080     -3.870     1588.   3.970  0.1532  50.6492
 0.0080    0.0100     -3.996     1500.   3.996  0.1487  50.6241
 0.0080    0.0150     -4.211     1357.   4.037  0.1419  50.5846
 0.0080    0.0200     -4.374     1254.   4.064  0.1375  50.5577
 0.0080    0.0300     -4.596     1124.   4.095  0.1326  50.5262
 0.0080    0.0400     -4.758     1036.   4.116  0.1295  50.5055
 0.0080    0.0600     -4.984      923.   4.141  0.1258  50.4802
 0.0080    0.0800     -5.148      848.   4.157  0.1235  50.4643
 0.0080    0.1000     -5.276      793.   4.168  0.1219  50.4531
 0.0080    0.1500     -5.502      703.   4.186  0.1195  50.4355
 0.0080    0.2000     -5.670      643.   4.198  0.1179  50.4237
 0.0080    0.3000     -5.883      573.   4.212  0.1160  50.4095
 0.0080    0.4000     -6.032      529.   4.222  0.1147  50.4000
 0.0080    0.6000     -6.227      476.   4.234  0.1130  50.3876
 0.0080    0.8000     -6.367      441.   4.243  0.1119  50.3792
 0.0080    1.0000     -6.484      414.   4.249  0.1111  50.3731
 0.0080    1.5000     -6.663      376.   4.260  0.1097  50.3627
 0.0080    2.0000     -6.778      354.   4.268  0.1087  50.3549
 0.0080    3.0000     -6.942      324.   4.279  0.1073  50.3441
 0.0080    4.0000     -7.069      302.   4.287  0.1063  50.3363
 0.0080    6.0000     -7.266      272.   4.299  0.1050  50.3256
 0.0080    8.0000     -7.414      251.   4.306  0.1040  50.3186
 0.0080   10.0000     -7.534      235.   4.312  0.1034  50.3134
 0.0080   15.0000     -7.750      208.   4.321  0.1023  50.3047
  29
 0.0090    0.0010     -2.806     2312.   3.608  0.2464  51.0765
 0.0090    0.0020     -3.075     2163.   3.763  0.2064  50.9387
 0.0090    0.0030     -3.252     2046.   3.843  0.1881  50.8659
 0.0090    0.0040     -3.388     1952.   3.897  0.1768  50.8160
 0.0090    0.0060     -3.587     1808.   3.964  0.1637  50.7534
